item_id,warehouse_id,location,country,region,city,capacity_sqft,capacity_pallets,capacity_volume_cbm,capabilities,temperature_zone,hazmat_capable,lead_time_days_receipt,lead_time_days_ship,last_mile_radius_km,automation_level
WARI0001,WH-00001,Main St 1,SG,West,Austin,50000.0,1232,10400.62,pick/pack|VAS|returns,ambient,N,8.14,6.97,40.94,semi-auto
WARI0002,WH-00002,Harbor Way 2,US,East,Chennai,50000.0,1373,12096.43,VAS|kitting,ambient,N,4.07,5.91,48.07,full-auto
WARI0003,WH-00003,Industrial Rd 3,BR,East,Chennai,50000.0,1290,12249.86,VAS,chilled,Y,6.74,3.62,41.5,manual
WARI0004,WH-00004,Market Blvd 4,US,West,Frankfurt,50000.0,1144,10543.09,returns|pick/pack,chilled,N,8.44,7.31,40.67,semi-auto
WARI0005,WH-00005,Market Blvd 5,BR,East,Chennai,50000.0,1960,11147.15,pick/pack|cross-dock,frozen,N,6.51,4.87,40.71,manual
WARI0006,WH-00006,Harbor Way 6,CN,East,Aurora,50000.0,1479,12852.56,returns|pick/pack|cross-dock,ambient,N,7.8,8.84,34.64,semi-auto
WARI0007,WH-00007,Market Blvd 7,DE,South,Berlin,50000.0,1176,10425.69,cross-dock|pick/pack,ambient,N,0.97,2.51,37.99,semi-auto
WARI0008,WH-00008,Main St 8,CN,South,Aurora,50000.0,1480,16433.68,VAS,ambient,N,2.68,4.5,32.89,full-auto
WARI0009,WH-00009,Harbor Way 9,IN,Central,Chicago,50000.0,1224,10802.47,returns|cross-dock,ambient,N,4.88,3.0,53.89,full-auto
WARI0010,WH-00010,Industrial Rd 10,CN,East,Chennai,50000.0,1986,14601.74,returns,ambient,N,8.12,9.25,37.39,semi-auto
WARI0011,WH-00011,Market Blvd 11,DE,Central,Frankfurt,50000.0,1303,16403.33,VAS|returns,ambient,N,0.98,3.19,21.56,full-auto
WARI0012,WH-00012,Industrial Rd 12,DE,East,Bangalore,50000.0,1222,15107.95,returns,chilled,N,7.31,5.13,53.38,manual
WARI0013,WH-00013,Main St 13,DE,North,Frankfurt,50000.0,1325,10041.81,kitting|cross-dock|pick/pack,frozen,N,7.45,9.14,41.98,semi-auto
WARI0014,WH-00014,Market Blvd 14,IN,North,Bangalore,50000.0,1561,13053.68,returns|cross-dock,frozen,N,7.09,8.33,45.76,semi-auto
WARI0015,WH-00015,Market Blvd 15,SG,East,Frankfurt,50000.0,1401,11011.26,pick/pack,ambient,N,10.84,10.04,43.57,semi-auto
WARI0016,WH-00016,Harbor Way 16,IN,East,Pune,50000.0,1163,15325.88,VAS|pick/pack|kitting,ambient,N,7.4,9.9,38.82,semi-auto
WARI0017,WH-00017,Harbor Way 17,MX,North,Aurora,50000.0,1585,10368.18,kitting,ambient,N,-0.06,-0.14,37.58,semi-auto
WARI0018,WH-00018,Main St 18,BR,East,Austin,50000.0,1903,10505.99,cross-dock|kitting,chilled,N,8.57,9.85,31.44,semi-auto
WARI0019,WH-00019,Market Blvd 19,US,West,Pune,50000.0,1766,10619.47,pick/pack,chilled,N,8.43,6.7,38.57,manual
WARI0020,WH-00020,Harbor Way 20,DE,Central,Chicago,50000.0,1985,11464.34,returns,ambient,N,4.98,2.77,38.07,full-auto
WARI0021,WH-00021,Industrial Rd 21,MX,West,Frankfurt,50000.0,1864,14690.92,pick/pack|cross-dock,ambient,Y,8.18,9.01,45.66,full-auto
WARI0022,WH-00022,Market Blvd 22,SG,Central,Austin,50000.0,1943,13925.15,VAS|kitting|returns,chilled,N,15.21,14.41,42.36,semi-auto
WARI0023,WH-00023,Main St 23,MX,South,Frankfurt,50000.0,1165,15332.82,kitting,ambient,Y,7.07,9.47,29.41,full-auto
WARI0024,WH-00024,Main St 24,MX,North,Pune,50000.0,1226,12653.6,returns|cross-dock|kitting,ambient,N,2.38,3.64,35.95,full-auto
WARI0025,WH-00025,Harbor Way 25,MX,North,Pune,50000.0,1368,10368.67,pick/pack|returns|VAS,chilled,N,13.42,11.49,36.25,semi-auto
WARI0026,WH-00026,Industrial Rd 26,BR,South,Chicago,50000.0,1123,14025.84,returns|kitting|VAS,ambient,N,0.56,-0.99,32.64,full-auto
WARI0027,WH-00027,Industrial Rd 27,SG,North,Mumbai,50000.0,1632,15527.72,pick/pack|kitting|returns,ambient,Y,9.23,6.53,34.85,semi-auto
WARI0028,WH-00028,Market Blvd 28,US,North,Mumbai,50000.0,1894,15826.49,cross-dock|kitting|returns,ambient,N,5.9,7.32,29.02,semi-auto
WARI0029,WH-00029,Harbor Way 29,BR,Central,Berlin,50000.0,1273,13033.94,pick/pack|kitting,chilled,N,3.99,2.39,38.24,semi-auto
WARI0030,WH-00030,Market Blvd 30,DE,East,Pune,50000.0,1683,15385.86,kitting|cross-dock,ambient,N,9.99,7.35,39.66,semi-auto
WARI0031,WH-00031,Harbor Way 31,MX,West,Aurora,50000.0,1562,12131.26,VAS,frozen,Y,4.95,5.33,44.35,semi-auto
WARI0032,WH-00032,Main St 32,DE,South,Pune,50000.0,1769,11639.12,kitting,frozen,N,9.5,10.07,17.67,semi-auto
WARI0033,WH-00033,Industrial Rd 33,MX,South,Mumbai,50000.0,1692,10400.25,VAS,ambient,N,5.43,5.5,9.75,semi-auto
WARI0034,WH-00034,Main St 34,BR,Central,Berlin,50000.0,1184,14108.34,cross-dock|returns|kitting,chilled,N,3.87,6.32,22.88,full-auto
WARI0035,WH-00035,Harbor Way 35,MX,Central,Mumbai,50000.0,1523,13859.47,pick/pack|cross-dock|returns,ambient,N,8.44,7.5,48.17,manual
WARI0036,WH-00036,Industrial Rd 36,SG,North,Berlin,50000.0,1697,15062.34,kitting,chilled,N,10.87,13.14,45.73,full-auto
WARI0037,WH-00037,Main St 37,US,North,Berlin,50000.0,1839,12347.26,cross-dock|VAS|kitting,ambient,N,10.06,7.96,29.39,manual
WARI0038,WH-00038,Harbor Way 38,US,North,Aurora,50000.0,1223,13464.69,returns|kitting,chilled,N,3.14,6.73,55.19,full-auto
WARI0039,WH-00039,Main St 39,SG,North,Pune,50000.0,1701,11107.46,pick/pack|returns|kitting,ambient,N,4.71,8.98,24.55,full-auto
WARI0040,WH-00040,Main St 40,IN,Central,Mumbai,50000.0,1310,13426.2,VAS,chilled,N,6.75,9.9,36.71,full-auto
WARI0041,WH-00041,Main St 41,IN,Central,Frankfurt,50000.0,1826,15148.43,returns,ambient,N,5.85,4.71,41.0,manual
WARI0042,WH-00042,Industrial Rd 42,SG,Central,Frankfurt,50000.0,1631,16188.69,returns|cross-dock|VAS,ambient,N,7.35,7.12,42.7,semi-auto
WARI0043,WH-00043,Market Blvd 43,SG,East,Mumbai,50000.0,1413,11412.15,VAS|cross-dock,ambient,N,9.14,8.8,44.7,manual
WARI0044,WH-00044,Harbor Way 44,US,South,Chicago,50000.0,1159,13638.18,kitting,chilled,N,4.56,3.35,36.27,semi-auto
WARI0045,WH-00045,Harbor Way 45,CN,East,Aurora,50000.0,1191,12163.89,pick/pack|returns,ambient,N,5.95,7.24,33.71,manual
WARI0046,WH-00046,Harbor Way 46,SG,Central,Chicago,50000.0,1124,16350.35,returns,chilled,N,16.45,12.94,29.58,manual
WARI0047,WH-00047,Main St 47,US,South,Pune,50000.0,1390,10470.6,pick/pack|kitting|cross-dock,ambient,N,11.94,10.55,38.66,manual
WARI0048,WH-00048,Harbor Way 48,DE,East,Bangalore,50000.0,1472,12639.39,VAS,ambient,N,8.71,10.85,42.45,semi-auto
WARI0049,WH-00049,Industrial Rd 49,MX,West,Chennai,50000.0,1378,10405.56,kitting|returns|pick/pack,frozen,N,3.73,4.11,36.86,full-auto
WARI0050,WH-00050,Industrial Rd 50,US,East,Austin,50000.0,1166,16037.95,cross-dock|pick/pack|VAS,chilled,Y,5.75,5.91,14.53,full-auto
WARI0051,WH-00051,Main St 51,DE,West,Austin,50000.0,1658,16070.64,VAS|pick/pack,chilled,N,11.62,11.71,6.62,semi-auto
WARI0052,WH-00052,Main St 52,DE,Central,Aurora,50000.0,1186,10864.91,pick/pack|kitting,frozen,N,4.56,6.39,43.84,full-auto
WARI0053,WH-00053,Industrial Rd 53,US,South,Bangalore,50000.0,1764,11566.73,VAS,frozen,N,2.9,1.09,40.13,full-auto
WARI0054,WH-00054,Harbor Way 54,BR,East,Bangalore,50000.0,1664,12095.14,kitting|cross-dock,chilled,Y,12.0,11.24,44.43,manual
WARI0055,WH-00055,Industrial Rd 55,CN,West,Austin,50000.0,1506,13629.73,pick/pack|VAS|returns,ambient,N,1.09,3.07,41.34,manual
WARI0056,WH-00056,Market Blvd 56,MX,East,Aurora,50000.0,1817,14329.56,VAS,ambient,N,8.7,7.29,26.4,semi-auto
WARI0057,WH-00057,Market Blvd 57,US,North,Aurora,50000.0,1392,14755.33,kitting,ambient,N,13.69,14.85,21.67,manual
WARI0058,WH-00058,Harbor Way 58,IN,Central,Chennai,50000.0,1487,10187.36,pick/pack|kitting,chilled,N,7.42,8.47,16.61,semi-auto
WARI0059,WH-00059,Market Blvd 59,DE,East,Bangalore,50000.0,1819,16021.64,VAS,ambient,N,12.05,11.82,21.04,semi-auto
WARI0060,WH-00060,Main St 60,BR,West,Berlin,50000.0,1356,11884.12,kitting,ambient,N,9.97,8.82,24.15,manual
WARI0061,WH-00061,Main St 61,IN,Central,Chennai,50000.0,1874,10128.07,VAS,chilled,Y,9.8,10.16,34.44,semi-auto
WARI0062,WH-00062,Market Blvd 62,SG,North,Aurora,50000.0,1932,14421.53,VAS|returns,chilled,N,4.83,4.18,34.99,manual
WARI0063,WH-00063,Market Blvd 63,IN,South,Bangalore,50000.0,1449,10335.45,pick/pack|cross-dock,ambient,N,7.13,6.28,31.31,manual
WARI0064,WH-00064,Main St 64,MX,Central,Aurora,50000.0,1309,14353.83,cross-dock|returns|kitting,frozen,N,5.9,6.82,35.94,semi-auto
WARI0065,WH-00065,Market Blvd 65,CN,North,Bangalore,50000.0,1914,11672.83,returns|VAS,chilled,N,5.4,5.32,22.04,full-auto
WARI0066,WH-00066,Main St 66,US,West,Bangalore,50000.0,1335,12131.14,cross-dock,chilled,N,13.84,13.42,26.56,manual
WARI0067,WH-00067,Main St 67,CN,West,Berlin,50000.0,1448,11546.96,returns|kitting|cross-dock,ambient,N,4.05,4.23,29.28,full-auto
WARI0068,WH-00068,Market Blvd 68,US,East,Bangalore,50000.0,1284,10788.45,VAS|kitting,chilled,N,10.73,9.35,53.37,manual
WARI0069,WH-00069,Market Blvd 69,US,East,Austin,50000.0,1704,15978.99,kitting,ambient,N,9.63,10.11,32.29,manual
WARI0070,WH-00070,Industrial Rd 70,SG,South,Berlin,50000.0,1610,11265.75,returns|kitting,ambient,N,8.15,6.85,6.11,manual
WARI0071,WH-00071,Main St 71,MX,South,Berlin,50000.0,1838,14722.9,returns|pick/pack,frozen,Y,5.8,4.76,32.43,semi-auto
