item_id,carrier_name,mode,region,country,capacity_type,capacity_unit,avg_transit_days,max_transit_days,min_transit_days,service_level,temperature_controlled,hazardous_capable,tracking_available,carrier_type,certifications,cost_per_kg,cost_per_shipment_base,currency,reliability_score,on_time_pct_typical
CARRI0001,Carrier_0001,air,South,BR,FTL,teu,4.906390131,16.46923674,0.5,express,N,N,N,non-asset,,27.42,3510.11,BRL,56.78,71.72
CARRI0002,Carrier_0002,air,West,DE,parcel,teu,4.203456687,11.4799319,0.5,express,Y,N,N,non-asset,C-TPAT,23.9669,6166.18,EUR,70.13,82.36
CARRI0003,Carrier_0003,sea,West,CN,FTL,cbm,19.26492175,25.16316861,14.61297735,standard,Y,N,Y,asset,TAPA|C-TPAT,24.7521,13152.39,CNY,48.46,50.04
CARRI0004,Carrier_0004,road,East,MX,LTL,kg,5.104849551,16.21050381,0.5,express,Y,N,N,non-asset,TAPA|C-TPAT,27.3578,9278.65,MXN,55.48,86.81
CARRI0005,Carrier_0005,road,East,CN,LTL,teu,5.483930497,15.00562969,1.324008588,express,N,Y,Y,non-asset,C-TPAT,14.7418,7482.4,CNY,72.8,88.66
CARRI0006,Carrier_0006,sea,East,IN,FTL,teu,19.05433477,24.86187134,15.41633544,economy,Y,N,N,asset,ISO|C-TPAT,18.0515,11940.13,INR,41.09,58.57
CARRI0007,Carrier_0007,air,West,MX,parcel,cbm,4.535502706,9.265301194,1.352286843,economy,N,N,Y,non-asset,,13.3459,6076.47,MXN,60.54,79.13
CARRI0008,Carrier_0008,air,Central,IN,FTL,cbm,3.793254169,9.550954275,0.753131335,standard,Y,N,Y,non-asset,C-TPAT,19.3482,7892.01,INR,71.15,100
CARRI0009,Carrier_0009,sea,North,IN,parcel,teu,17.53159274,20.32323194,11.92774957,standard,N,Y,Y,non-asset,TAPA,16.3748,8701.58,INR,57.5,82.04
CARRI0010,Carrier_0010,road,East,US,parcel,teu,3.849373992,9.19553483,3.184173079,express,N,N,N,asset,ISO,29.6995,11436.31,USD,55,68.3
CARRI0011,Carrier_0011,multimodal,East,MX,LTL,cbm,8.14699771,14.52741054,4.316027931,standard,N,Y,Y,asset,TAPA|ISO,33.8183,7086.22,MXN,67.63,93.08
CARRI0012,Carrier_0012,sea,West,IN,LTL,kg,17.82453484,23.70439759,13.25072421,express,N,Y,Y,non-asset,TAPA,11.5666,29879.35,INR,79.96,100
CARRI0013,Carrier_0013,sea,East,SG,parcel,teu,18.04690819,29.36974412,15.91428717,express,N,N,N,asset,TAPA|ISO,29.7322,14753.53,SGD,45.05,85.4
CARRI0014,Carrier_0014,sea,West,US,LTL,cbm,16.84088624,25.82508299,11.25663357,standard,Y,N,N,asset,TAPA|C-TPAT,11.4592,19632.37,USD,50.79,66.41
CARRI0015,Carrier_0015,multimodal,Central,DE,FTL,cbm,11.17279699,14.72194934,8.271398946,standard,Y,N,Y,non-asset,C-TPAT,26.7931,14374.4,EUR,66.31,75.63
CARRI0016,Carrier_0016,multimodal,East,DE,parcel,cbm,11.78537863,14.88519869,10.89594314,express,N,N,N,asset,C-TPAT,11.7605,10984.7,EUR,52.98,65.15
CARRI0017,Carrier_0017,rail,South,MX,parcel,teu,7.645400815,10.2209351,5.998833401,express,N,Y,Y,asset,C-TPAT|ISO,23.4817,9172.23,MXN,67.14,98.33
