item_id,item_title,artist,genre,year,tempo_bpm,danceability,energy,category
S001,Blinding Lights,The Weeknd,Synthwave,2019,171,0.86,0.78,Pop
S002,Levitating,Dua Lipa,Disco Pop,2020,103,0.74,0.65,Pop
S003,Shape of You,Ed Sheeran,Dancehall Pop,2017,95,0.82,0.69,Pop
S004,Rolling in the Deep,Adele,Soul,2010,105,0.55,0.72,Soul
S005,Someone Like You,Adele,Ballad,2011,67,0.44,0.34,Ballad
S006,Bad Guy,Billie Eilish,Alt Pop,2019,135,0.73,0.60,Alt
S007,Uptown Funk,Mark Ronson,Funk,2014,115,0.79,0.82,Funk
S008,Waka Waka (This Time for Africa),Shakira,Dance Pop,2010,110,0.78,0.77,Pop
S009,Crazy in Love,Beyonce,R&B,2003,99,0.75,0.81,R&B
S010,Stayin' Alive,Bee Gees,Disco,1977,104,0.70,0.62,Disco
S011,Poker Face,Lady Gaga,Synth Pop,2008,119,0.81,0.72,Pop
S012,Clocks,Coldplay,Indie Rock,2002,115,0.60,0.53,Rock
