item_id,lane_id,origin_region,origin_country,origin_city,dest_region,dest_country,dest_city,mode,distance_km,typical_volume_teu,transit_days_typical,avg_cost_per_shipment,customs_required
LANEI0001,LANE-00001,South,MX,Bangalore,East,MX,Shenzhen,sea,2091.16,7.832,9.74,246.85,N
LANEI0002,LANE-00002,West,MX,Phoenix,South,SG,Munich,sea,1550.48,7.936,11.85,529.5,Y
LANEI0003,LANE-00003,Central,IN,Pune,North,BR,Delhi,road,604.14,0.927,5.0,581.85,Y
LANEI0004,LANE-00004,East,BR,Newark,South,DE,Bangalore,road,422.54,1.045,5.39,669.1,Y
LANEI0005,LANE-00005,West,MX,Los Angeles,Central,US,Hyderabad,sea,3001.21,7.086,10.08,1455.27,Y
LANEI0006,LANE-00006,North,CN,Berlin,South,CN,Mumbai,rail,1170.64,0.938,7.86,469.06,N
LANEI0007,LANE-00007,South,IN,Chennai,North,BR,Toronto,air,448.08,0.443,2.98,2140.84,Y
LANEI0008,LANE-00008,South,DE,Bangalore,West,BR,Austin,rail,803.09,1.331,3.57,1260.19,Y
LANEI0009,LANE-00009,West,CN,Austin,East,US,Shenzhen,road,455.15,1.235,4.23,344.77,Y
LANEI0010,LANE-00010,East,BR,Newark,West,BR,Los Angeles,rail,1020.41,1.667,7.53,926.19,N
LANEI0011,LANE-00011,North,US,Toronto,South,IN,Mumbai,rail,990.13,2.146,3.76,973.47,Y
LANEI0012,LANE-00012,West,CN,Los Angeles,South,IN,Munich,sea,1853.79,8.225,10.78,771.82,Y
LANEI0013,LANE-00013,East,MX,Newark,West,CN,Cologne,sea,2958.6,7.641,12.69,2130.26,Y
LANEI0014,LANE-00014,Central,US,Hyderabad,South,MX,Munich,rail,1110.03,1.22,5.29,339.21,Y
LANEI0015,LANE-00015,South,US,Chennai,East,SG,Shenzhen,air,474.34,0.508,1.14,1656.57,Y
LANEI0016,LANE-00016,South,SG,Mumbai,Central,BR,Hyderabad,rail,729.09,1.561,4.31,711.95,Y
LANEI0017,LANE-00017,South,DE,Chennai,North,US,Delhi,rail,877.3,1.883,2.07,803.73,Y
LANEI0018,LANE-00018,Central,DE,Hyderabad,North,SG,Delhi,air,706.21,0.406,0.6,3071.16,Y
LANEI0019,LANE-00019,West,IN,Phoenix,East,MX,Shenzhen,rail,745.84,1.42,6.99,1261.95,Y
LANEI0020,LANE-00020,West,DE,Cologne,South,IN,Munich,road,277.66,0.438,5.07,288.68,Y
LANEI0021,LANE-00021,North,US,Delhi,East,BR,Shenzhen,road,334.16,1.102,1.96,852.2,Y
LANEI0022,LANE-00022,South,IN,Mumbai,North,DE,Beijing,sea,2554.28,7.851,13.96,442.49,Y
LANEI0023,LANE-00023,South,MX,Munich,West,IN,Phoenix,sea,2949.89,8.761,12.02,413.11,Y
LANEI0024,LANE-00024,East,SG,Shanghai,North,CN,Berlin,road,469.6,0.257,3.66,821.53,Y
LANEI0025,LANE-00025,East,CN,Newark,West,IN,Los Angeles,air,418.45,0.347,2.08,1113.47,N
LANEI0026,LANE-00026,North,DE,Berlin,South,DE,Chennai,air,817.56,0.926,0.6,884.24,N
LANEI0027,LANE-00027,East,US,Newark,North,DE,Delhi,air,861.57,0.05,3.57,2517.66,Y
LANEI0028,LANE-00028,South,SG,Chennai,Central,MX,Pune,sea,3515.4,8.326,14.36,1014.05,Y
LANEI0029,LANE-00029,North,DE,Berlin,South,US,Bangalore,road,423.76,1.095,1.8,1261.89,Y
LANEI0030,LANE-00030,East,CN,Shizuoka,West,BR,Austin,road,360.01,0.05,4.85,667.9,Y
LANEI0031,LANE-00031,West,CN,Los Angeles,Central,IN,Hyderabad,road,565.59,1.154,4.75,536.29,Y
LANEI0032,LANE-00032,North,CN,Beijing,North,IN,Berlin,air,619.05,0.118,3.52,1608.25,N
LANEI0033,LANE-00033,West,DE,Austin,South,IN,Mumbai,rail,550.81,1.354,4.89,1014.53,Y
LANEI0034,LANE-00034,West,IN,Austin,East,CN,Newark,air,424.09,0.05,2.18,4024.61,Y
LANEI0035,LANE-00035,West,MX,Cologne,Central,DE,Chicago,road,170.31,0.553,4.03,808.46,N
LANEI0036,LANE-00036,West,CN,Los Angeles,North,US,Beijing,sea,3137.36,7.962,10.52,299.67,N
LANEI0037,LANE-00037,North,US,Berlin,Central,MX,Chicago,road,364.77,0.532,5.56,413.04,N
LANEI0038,LANE-00038,North,SG,Berlin,West,US,Phoenix,road,364.37,1.225,2.45,1050.79,Y
LANEI0039,LANE-00039,North,MX,Toronto,West,SG,Austin,air,975.91,0.213,0.6,1107.51,N
LANEI0040,LANE-00040,North,MX,Berlin,South,US,Chennai,road,327.83,0.951,3.65,1294.06,Y
LANEI0041,LANE-00041,West,CN,Los Angeles,North,IN,Berlin,road,563.46,0.806,1.78,759.1,Y
LANEI0042,LANE-00042,North,CN,Toronto,South,MX,Bangalore,rail,878.7,1.757,3.77,636.81,Y
LANEI0043,LANE-00043,East,IN,Shanghai,Central,CN,Chicago,rail,295.31,1.232,5.33,782.73,Y
LANEI0044,LANE-00044,South,DE,Bangalore,East,MX,Newark,road,487.32,0.823,3.41,679.98,Y
LANEI0045,LANE-00045,West,SG,Phoenix,South,IN,Munich,rail,733.65,1.516,3.41,543.81,Y
LANEI0046,LANE-00046,West,IN,Los Angeles,Central,BR,Frankfurt,rail,1154.02,1.213,4.78,1226.39,Y
LANEI0047,LANE-00047,North,MX,Delhi,South,BR,Chennai,rail,823.89,1.809,7.48,1573.32,Y
LANEI0048,LANE-00048,East,DE,Shenzhen,North,US,Delhi,sea,2531.66,8.141,8.94,1607.74,Y
LANEI0049,LANE-00049,West,US,Austin,East,BR,Shanghai,road,542.41,0.05,0.6,1300.17,Y
LANEI0050,LANE-00050,West,SG,Cologne,North,SG,Toronto,air,569.79,0.857,0.6,1602.24,N
LANEI0051,LANE-00051,South,SG,Munich,East,IN,Newark,air,947.13,0.514,0.6,1724.4,Y
LANEI0052,LANE-00052,East,BR,Shizuoka,Central,DE,Hyderabad,sea,2825.71,7.521,10.84,673.97,Y
LANEI0053,LANE-00053,East,MX,Shenzhen,South,IN,Munich,air,782.0,0.05,1.47,1291.44,Y
LANEI0054,LANE-00054,East,SG,Shanghai,East,MX,Shizuoka,sea,2131.05,7.822,11.72,687.2,N
LANEI0055,LANE-00055,South,CN,Chennai,West,US,Phoenix,road,448.02,0.509,1.87,596.8,N
LANEI0056,LANE-00056,Central,MX,Frankfurt,East,US,Shanghai,rail,638.35,1.602,4.61,2743.81,Y
LANEI0057,LANE-00057,East,BR,Newark,North,BR,Berlin,road,314.44,1.137,1.53,278.91,N
LANEI0058,LANE-00058,East,MX,Shenzhen,North,SG,Berlin,air,812.29,0.503,0.6,1488.18,N
LANEI0059,LANE-00059,Central,MX,Chicago,North,US,Delhi,sea,2508.59,7.011,13.33,1422.67,Y
LANEI0060,LANE-00060,North,CN,Berlin,South,MX,Mumbai,sea,2226.65,8.044,11.93,515.35,Y
LANEI0061,LANE-00061,North,IN,Beijing,South,CN,Mumbai,air,555.81,0.499,1.92,2517.12,Y
LANEI0062,LANE-00062,East,BR,Shenzhen,North,CN,Toronto,road,258.88,0.773,5.72,859.43,Y
LANEI0063,LANE-00063,West,US,Cologne,North,DE,Delhi,air,532.78,0.05,3.74,2092.35,Y
LANEI0064,LANE-00064,Central,US,Chicago,West,SG,Austin,road,550.69,1.212,3.38,607.06,Y
LANEI0065,LANE-00065,North,BR,Delhi,East,CN,Shizuoka,rail,851.72,1.273,5.97,285.81,N
LANEI0066,LANE-00066,West,DE,Cologne,East,CN,Shanghai,rail,1040.1,1.331,4.5,1062.33,Y
LANEI0067,LANE-00067,West,DE,Cologne,South,SG,Munich,air,576.4,0.05,0.6,736.22,Y
LANEI0068,LANE-00068,North,MX,Delhi,East,US,Shanghai,sea,3477.6,8.108,8.46,524.26,Y
LANEI0069,LANE-00069,South,SG,Bangalore,West,BR,Austin,air,1027.97,0.672,0.6,2181.62,Y
LANEI0070,LANE-00070,South,BR,Munich,North,IN,Toronto,rail,812.57,0.592,3.97,665.74,Y
LANEI0071,LANE-00071,East,US,Shanghai,South,MX,Chennai,rail,548.98,0.926,3.6,1954.13,Y
LANEI0072,LANE-00072,West,CN,Austin,North,CN,Berlin,sea,2860.93,8.154,12.96,1351.11,N
LANEI0073,LANE-00073,West,BR,Phoenix,Central,MX,Pune,rail,1074.9,1.933,6.14,791.39,Y
LANEI0074,LANE-00074,North,MX,Delhi,Central,US,Chicago,road,438.12,0.509,2.93,476.02,Y
LANEI0075,LANE-00075,West,IN,Los Angeles,South,CN,Bangalore,sea,1696.87,7.806,10.79,951.83,Y
LANEI0076,LANE-00076,West,SG,Austin,South,IN,Chennai,sea,2802.88,7.81,11.7,1503.44,Y
LANEI0077,LANE-00077,Central,SG,Frankfurt,South,US,Mumbai,road,526.34,0.663,3.24,930.1,Y
LANEI0078,LANE-00078,East,DE,Shizuoka,Central,BR,Frankfurt,rail,1477.81,1.818,4.94,734.95,Y
LANEI0079,LANE-00079,North,IN,Delhi,East,DE,Shanghai,sea,2518.37,7.716,14.53,960.59,Y
LANEI0080,LANE-00080,South,MX,Mumbai,Central,IN,Frankfurt,sea,1926.4,8.342,12.4,672.31,Y
LANEI0081,LANE-00081,North,MX,Beijing,East,BR,Shanghai,road,349.23,0.808,4.47,149.23,N
LANEI0082,LANE-00082,East,DE,Newark,South,SG,Mumbai,rail,1141.74,1.205,2.15,1448.0,Y
LANEI0083,LANE-00083,West,BR,Los Angeles,East,MX,Newark,air,767.26,0.05,1.39,2686.58,Y
LANEI0084,LANE-00084,North,MX,Berlin,South,DE,Bangalore,air,412.97,0.184,3.85,1353.0,Y
LANEI0085,LANE-00085,East,SG,Shanghai,South,MX,Chennai,sea,1792.09,7.807,11.33,1134.34,Y
LANEI0086,LANE-00086,North,US,Berlin,West,CN,Cologne,rail,840.69,1.174,6.02,1145.32,Y
LANEI0087,LANE-00087,Central,MX,Hyderabad,East,SG,Shizuoka,road,388.86,0.91,1.81,638.81,Y
LANEI0088,LANE-00088,Central,CN,Chicago,South,DE,Bangalore,sea,1720.99,7.171,12.03,589.24,Y
LANEI0089,LANE-00089,East,US,Shanghai,Central,CN,Pune,rail,735.41,1.445,4.72,588.05,N
LANEI0090,LANE-00090,West,DE,Los Angeles,North,BR,Berlin,sea,2493.49,8.007,13.45,898.31,Y
LANEI0091,LANE-00091,North,US,Toronto,South,DE,Bangalore,sea,3398.91,8.432,14.02,1173.78,Y
LANEI0092,LANE-00092,West,CN,Cologne,North,IN,Beijing,rail,762.08,1.64,6.58,981.12,Y
LANEI0093,LANE-00093,South,MX,Munich,West,DE,Phoenix,road,510.11,0.739,5.89,1419.13,Y
LANEI0094,LANE-00094,East,IN,Shizuoka,West,BR,Phoenix,air,739.74,0.05,0.6,2515.32,Y
LANEI0095,LANE-00095,Central,SG,Pune,South,SG,Chennai,rail,1101.4,1.782,3.57,491.9,N
LANEI0096,LANE-00096,Central,SG,Pune,West,MX,Los Angeles,sea,2953.63,7.875,12.71,1694.28,Y
LANEI0097,LANE-00097,South,BR,Chennai,East,SG,Shizuoka,air,988.5,0.453,2.58,3662.57,Y
LANEI0098,LANE-00098,Central,IN,Pune,East,BR,Newark,sea,2661.25,8.04,14.7,585.28,Y
LANEI0099,LANE-00099,Central,CN,Hyderabad,North,US,Toronto,sea,2646.61,8.234,12.11,738.26,Y
LANEI0100,LANE-00100,South,US,Munich,West,MX,Austin,sea,3153.89,8.446,14.96,722.42,Y
LANEI0101,LANE-00101,West,SG,Austin,North,MX,Delhi,air,945.47,0.05,2.19,2432.13,Y
